45032558,888048000264,"FRESH ATTITUDE, BABY ROMAINE MIX",100
45186505,846340001419,GREEN LEAF LETTUCE,100
45230254,688267011610,SALAD MIX,100
45035590,858959004255,ROMAINE HEARTS,100
45021596,071022330086,PHILIPPINE MANGO,100
45023949,815369012072,"CADIA, ORGANIC MANGO",100
45363722,845857020029,SPANISH CLEMENTINES,100
45009115,024000367031,MANDARIN ORANGES,100
45005747,078742056548,"GREAT VALUE, MANDARIN ORANGES",100
45286899,851694003835,GRAPEFRUIT,100
45084768,688267072246,ORANGE,100
45203303,859002004192,RED GRAPES,100
45226591,812985016132,RED SEEDLESS GRAPES,100
45264282,812985018051,BLACK SEEDLESS GRAPES,100
45264284,812985018143,GREEN SEEDLESS GRAPES,100
45268728,812411020023,APRICOT,100
45023141,741643022881,WHOLE MUSHROOMS,100
45025665,033383902050,CLASSIC CUT AND PEELED BABY CARROTS,100
45062583,023923300309,"EARTH'S BEST ORGANIC, CARROTS",100
45198354,076700002095,YAMS,100
45005803,078742083827,WHOLE NEW POTATOES,100
45273478,045255118643,BABY RED POTATOES,100
45274979,605806001437,RED IDAHO POTATOES,100
45184866,681131091114,ORGANIC RUSSET POTATOES,100
45032554,888048000288,"FRESH ATTITUDE, BABY SPINACH",100
45044167,688267035944,ORGANIC BABY SPINACH & BABY KALE,100
45359850,079893419107,ORGANIC BABY SPINACH & ARUGULA,100
45033738,854615002214,RAW CRUNCHY KALE,100
45195736,030223043362,ORGANIC BABY SPRING MIX,100
45283403,041268166190,SPRING MIX FRESH GREENS WASHED & READY TO USE,100
45182462,041268191345,RED DELICIOUS APPLE,100
45335798,888670019900,ORGANIC RED DELICIOUS APPLES,100
45366409,688267041648,GOLDEN DELICIOUS APPLES,100
45181927,033383087122,ORGANIC GALA APPLES,100
45189051,888670019894,ORGANIC GRANNY SMITH APPLES,100
45233756,863031000018,AVOCADO,100
45267494,652003101262,ONION,100
45230275,688267170010,RED ONION,100
45225336,041415065536,ORGANIC WHOLE BROCCOLI FLORETS,100
45225265,041303020937,BROCCOLI,100
45016313,016459200441,BANANA,100
45317669,048500022221,WATERMELON,100
45212700,850725002175,CANTALOUPE,100
45012441,609207618157,PINEAPPLE,100
45005182,071202117629,"DOLE, BLUEBERRIES",100
45287989,021908406770,PREMIUM ORGANIC BLUEBERRIES,100
45182157,036217273043,BUTTERNUT SQUASH,100
45186581,848737007103,ORGANIC DICED BUTTERNUT SQUASH,100
45267816,667859020049,SPAGHETTI SQUASH,100
45372883,888670053324,ZUCCHINI SQUASH,100
45283648,037600089241,GARLIC,100
45118159,011196650801,CAULIFLOWER,100
45272415,028800280828,ORGANIC CAULIFLOWER,100
45212537,814944010656,TOMATO,100
45277075,011535501931,ORGANIC GRAPE TOMATOES,100
45012377,609207617983,STRAWBERRY,100
45231769,085239142851,ORGANIC STRAWBERRIES,100
45231763,492701400850,ORGANIC BLACKBERRIES,100
45291976,046567007571,BLACKBERRIES,100
45363472,734347082008,RUTABAGA,100
45203040,826766780907,DICED TURNIPS,100
45212448,780562860327,KIWI FRUIT,100
45180879,009485800006,PEPPER,100
45226644,874896005735,BELL PEPPERS,100
45108893,018184095019,ASPARAGUS,100
45235438,021908500294,PREMIUM ORGANIC ASPARAGUS CUTS,100
45344337,085239010686,ORGANIC ASPARAGUS SPEARS,100
45126494,070200550681,LEMON,100
45196156,046567030548,ARTICHOKE,100
45210123,041268110964,RED RASPBERRIES,100
45210766,070038638735,ORGANIC RASPBERRIES,100
45053482,075156169123,LEAN SIRLOIN TIP BEEF STEAKS,200
45058865,085239114261,TOP SIRLOIN STEAK,200
45182818,047126141347,SIRLOIN GROUND BEEF,200
45005107,202393008968,GROUND BEEF PATTIES,200
45092824,011110967848,GROUND BEEF,200
45181070,011535506875,ANGUS GROUND BEEF,200
45182083,035826085696,GROUND BEEF CHUCK,200
45366755,907539101766,BEEF SHORT RIBS,200
45184620,636289171454,GRASS FED BEEF STRIP STEAK,200
45200896,706073911105,BONELESS BEEF NEW YORK STRIP STEAK,200
45186943,859557004104,RIBEYE STEAK,200
45185839,812154021509,BISON RIBEYE STEAK,200
45226866,085239268346,CHUCK ROAST,200
45186949,859557004258,ORGANIC STEW MEAT,200
45212398,759583123087,GROUND LAMB,200
45367816,075391000475,LAMB BONE-IN LAMB LEGS,200
45183165,070800313730,END-CUT PORK CHOPS,200
45182206,037600545471,BONELESS CENTER CUT PORK CHOPS,200
45211269,077052906260,BONE IN PORK CHOPS,200
45353041,792338817435,SPARE RIBS,200
45202908,811663026852,BABY BACK PORK RIBS,200
45373476,814866029156,PRE-CUT BABY BACK PORK RIBS,200
45180969,011110993830,NATURAL GROUND PORK,200
45229588,041303069707,ITALIAN GROUND PORK SAUSAGE,200
45281339,021130152629,"MEATLOAF BLEND, GROUND BEEF, GROUND PORK",200
