45049129,041278582782,CHILI POWDER,600
45001768,051379021955,INSTANT BROWN RICE,400
45274291,850318005293,PETITE MUSSELS,200
45011282,036800292192,CHICKEN BROTH,400
45148584,077890388044,CALORIE FREE SPARKLING WATER,700
45024500,093966003840,CHEDDAR CHEESE,300
45198354,076700002095,YAMS,100
45137160,015400126748,DIET COLA,700
45012201,036800313859,CHAI BLACK TEA,700
45375016,037000073123,BOUNCE OUTDOOR EFFECTS DRYER SHEETS,800
45136545,041271017885,"DUNKIN' DONUTS, COFFEE CREAMER",300
45009115,024000367031,MANDARIN ORANGES,100
45203040,826766780907,DICED TURNIPS,100
45331037,775586400934,WHOLE OREGANO,600
45152844,085239220337,UNSWEETENED SPARKLING WATER,700
45375011,042000441438,BRAWNY PICK A SIZE PAPER TOWELS,800
45121812,788624098817,"MORANO, SPAGHETTI SAUCE",400
45033192,073484293015,"OUR HOUSE, ALL PURPOSE FLOUR",600
45287989,021908406770,PREMIUM ORGANIC BLUEBERRIES,100
45077928,714096123702,SHERRY VINEGAR,400
45002246,031200259028,100% ORANGE JUICE,300
45374983,854328007056,GRAPEFRUIT PEACH SPARKLING WATER,700
45212398,759583123087,GROUND LAMB,200
45057974,848737001965,"WILD OATS MARKET PLACE, ORGANIC TOMATO SAUCE",400
45006735,073296057072,"KEY FOOD, RAISIN BRAN CEREAL",400
45040421,041250666981,"MEIJER, BEAN WITH BACON CONDENSED SOUP",400
45226644,874896005735,BELL PEPPERS,100
45054673,041497026012,100% PURE ORANGE JUICE,300
45004328,036800352919,SOUTHWESTERN-STYLE BLACK BEAN SOUP,400
45210123,041268110964,RED RASPBERRIES,100
45374990,381371161058,AVEENO SHEER HYDRATION LOTION,800
45044515,688267148460,CLASSIC CHEESECAKE,500
45003544,738004000367,"THE BAKER'S BAKERY, MINI BLACK & WHITE COOKIES",500
45313222,078000025057,CAFFEINE FREE BLACKBERRY GINGER ALE,700
45001704,505137906228,TOMATO SAUCE,400
45375026,381370046691,BAND AID SHEER STRIPS,800
45142598,030034095604,FRUITION SPARKLING WATER,700
45034222,071901000024,"DAILY BREAD, BLEACHED-ENRICHED SELF-RISING FLOUR",600
45001534,051379009427,HICKORY BARBECUE SAUCE,400
45189051,888670019894,ORGANIC GRANNY SMITH APPLES,100
45137642,050088008016,"DANG! THAT'S GOOD, ITALIAN CHERRY SODA",700
45037677,041250165088,"MARKETS OF MEIJER, CREAM CHEESE MUFFINS",500
45375004,310158887096,SENSODYNE PRONAMEL GENTLE WHITENING TOOTHPASTE,800
45134423,029000002159,EGG BEATERS Liquid Eggs,300
45011339,071010121016,"SCHMIDT, OLD TYME, 100% WHOLE GRAIN BREAD",500
45002963,606476050558,"CEDARS COMPANY, WHEAT PITA BREAD",500
45096631,074880068733,"S&B, GARLIC,OLIVE OIL & CHILI PEPPER SPAGHETTI SAUCE",400
45375023,037000989080,OLAY ULTRA MOISTURE BODY WASH,800
45137606,004656701850,VERY LOW SODIUM COLA,700
45021890,023545204825,"LA FE, SARDINES IN HOT TOMATO SAUCE",400
45279327,075450034998,RASPBERRY VINAIGRETTE SALAD DRESSING,400
45082815,011213410104,1 DOZEN FARM FRESH EGGS,300
45005340,758543405003,"VOSKOS, GREEK NON FAT YOGURT, VANILLA BEAN",300
45374989,762148265603,ECOSMART 60W CFL BULBS,800
45182206,037600545471,BONELESS CENTER CUT PORK CHOPS,200
45060536,674971486905,CLASSIC SUGAR COOKIE MIX,600
45008572,053600001854,"LA YOGURT, LA CHOCOLAT, PROBIOTIC LOWFAT YOGURT, CHERRY, DARK CHOCOLATE CHIPS",300
45185840,812154021516,BISON TENDERLOIN STEAK,200
45366449,077013758730,FRESH CHICKEN THIGHS,200
45092824,011110967848,GROUND BEEF,200
45015344,815369010085,"CADIA, ORGANIC TOMATO PASTE",400
45236203,000004264424,DIET SHASTA COLA,700
45268728,812411020023,APRICOT,100
45051409,051933338814,WHITE ULTRA MOIST CAKE MIX,600
45010437,011150152143,"ROUNDY'S SELECT, HOT COCOA, SALTED CARAMEL DRINK MIX",700
45362366,085034721053,"ITAL BRAND, ITALIAN PEELED TOMATOES WITH BASIL LEAF IN TOMATO PUREE",400
45195687,041415480629,DELI EGG SALAD,300
45003497,076410093048,VAN-O LUNCH COOKIES,500
45180439,850450005014,QUESO CHEESE,300
45011576,888109110765,CHOCOLATE COVERED SPONGE CAKE,500
45231763,492701400850,ORGANIC BLACKBERRIES,100
45135765,744473909155,CULTURED COCONUT MILK,300
